rank_by_node_edge_mae,experiment_id,display_name,category,comparable,provider,model,prompt_version,input_version,prediction_type,evaluated_rows,prediction_valid_rate,node_mae,edge_mae,net_mae,node_edge_mae_sum,node_mae_delta_vs_v3,edge_mae_delta_vs_v3,net_mae_delta_vs_v3,node_mae_delta_vs_best,edge_mae_delta_vs_best,net_mae_delta_vs_best,selected_as_current_best,eval_summary,report,notes
1,doubao_prompt_v3_tile2x2_overlap10,Doubao prompt v3 tile2x2 overlap10,model,yes,doubao,doubao-seed-2-0-pro-260215,v3,tile2x2_overlap10_512px_250k,tile2x2_overlap10_sum_counts_clamped_net,14,1.0,362.642857,687.857143,0.857143,1050.5,-32.0,-27.785714,0.0,0.0,0.0,0.0,yes,data_index/topology_panel_v1_doubao_v3_tile2x2_overlap10_panel_predictions_eval_summary.json,docs/topology_panel_v1_doubao_tile2x2_overlap10_input_report.md,"Adds 10% overlap to 2x2 tiles; best node/edge MAE so far, net matches whole-image v3."
2,doubao_prompt_v3_tile2x2,Doubao prompt v3 tile2x2,model,yes,doubao,doubao-seed-2-0-pro-260215,v3,tile2x2_512px_250k,tile2x2_sum_counts_clamped_net,14,1.0,378.285714,713.5,0.714286,1091.785714,-16.357143,-2.142857,-0.142857,15.642857,25.642857,-0.142857,no,data_index/topology_panel_v1_doubao_v3_tile2x2_clamped_panel_predictions_eval_summary.json,docs/topology_panel_v1_doubao_tile2x2_input_report.md,Splits each panel into 2x2 tiles; improves node/edge/net MAE over whole-image v3.
3,doubao_prompt_v3,Doubao prompt v3,model,yes,doubao,doubao-seed-2-0-pro-260215,v3,image_512px_250k,count_only_synthetic_graph,14,1.0,394.642857,715.642857,0.857143,1110.285714,0.0,0.0,0.0,32.0,27.785714,0.0,no,data_index/topology_panel_v1_doubao_v3_model_predictions_eval_summary.json,docs/topology_panel_v1_doubao_prompt_v3_comparison_report.md,Keeps valid/status gains and fixes net_count overestimation with stricter connected-component rules.
4,doubao_prompt_v3_image_1024,Doubao prompt v3 image 1024,model,yes,doubao,doubao-seed-2-0-pro-260215,v3,image_1024px_1M,count_only_synthetic_graph,14,1.0,399.571429,724.285714,0.928571,1123.857143,4.928572,8.642857,0.071428,36.928572,36.428571,0.071428,no,data_index/topology_panel_v1_doubao_v3_1024_model_predictions_eval_summary.json,docs/topology_panel_v1_doubao_image_input_v2_report.md,Same prompt as v3 with larger whole-image input; did not improve count MAE over 512.
5,doubao_prompt_v2,Doubao prompt v2,model,yes,doubao,doubao-seed-2-0-pro-260215,v2,image_512px_250k,count_only_synthetic_graph,14,1.0,409.285714,737.357143,16.357143,1146.642857,14.642857,21.714286,15.5,46.642857,49.5,15.5,no,data_index/topology_panel_v1_doubao_v2_model_predictions_eval_summary.json,docs/topology_panel_v1_doubao_prompt_v2_comparison_report.md,Improves valid/status behavior and node/edge counts; overestimates net_count.
6,doubao_v1,Doubao v1,model,yes,doubao,doubao-seed-2-0-pro-260215,v1,image_512px_250k,count_only_synthetic_graph,14,0.357143,500.857143,828.357143,3.571429,1329.214286,106.214286,112.714286,2.714286,138.214286,140.5,2.714286,no,data_index/topology_panel_v1_doubao_model_predictions_eval_summary.json,docs/topology_panel_v1_doubao_eval_report.md,First full real-model baseline; many rows were uncertain/unreadable.
7,oracle_minus,Oracle-minus,sanity,no,oracle,oracle_minus,none,none,valid_perturbed_graph,14,1.0,7.5,57.857143,0.571429,65.357143,-387.142857,-657.785714,-0.285714,-355.142857,-630.0,-0.285714,no,data_index/topology_panel_v1_oracle_minus_eval_summary.json,data_index/topology_panel_v1_oracle_minus_eval_report.md,Official sanity baseline for evaluator sensitivity; not model performance.
